VQFN64/TQFP64,VQFN48/TQFP48,VQFN32/TQFP32,SPDIP28/SOIC28/SSOP28,Pin Name,Special,ADC0,PTC,ACn,DAC0,ZCDn,USARTn,SPIn,TWIn,TCA0,TCA1,TCBn,TCD0,EVSYS,CCL-LUTn
62,44,30,22,PA0,EXTCLK,,XO/Y0,,,,0:TxD,,,WO0,,,,,0:IN0
63,45,31,23,PA1,,,X1/Y1,,,,0:RxD,,,WO1,,,,,0:IN1
64,46,32,24,PA2,TWI,,X2/Y2,,,,0:XCK,,0:SDA(M),WO2,,0:WO,,EVOUTA,0:IN2
1,47,1,25,PA3,TWI,,X3/Y3,,,,0:XDIR,,0:SCL(M),WO3,,1:WO,,,0:OUT
2,48,2,26,PA4,,,X4/Y4,,,,0:TxD(3),0:MOSI,,WO4,,,0:WOA,,
3,1,3,27,PA5,,,X5/Y5,,,,0:RxD(3),0:MISO,,WO5,,,0:WOB,,
4,2,4,28,PA6,,,X6/Y6,,,,0:XCK(3),0:SCK,,,,,0:WOC,,0:OUT(3)
5,3,5,1,PA7,CLKOUT,,X7/Y7,0:OUT 1:OUT 2:OUT,,0:OUT 1:OUT 2:OUT,0:XDIR(3),0:SS,,,,,0:WOD,EVOUTA (3),
8,4,,,PB0,,,X8/Y8,,,,3:TxD,,,WO0(3),WO0,,,,4:IN0
9,5,,,PB1,,,X9/Y9,,,,3:RxD,,,WO1(3),WO1,,,,4:IN1
10,6,,,PB2,,,X10/Y10,,,,3:XCK,,1:SDA(M)(3),WO2(3),WO2,,,EVOUTB,4:IN2
11,7,,,PB3,,,X11/Y11,,,,3:XDIR,,1:SCL(M)(3),WO3(3),WO3,,,,4:OUT
12,8,,,PB4,,,X12/Y12,,,,3:TxD(3),1:MOSI(3),,WO4(3),WO4,2:WO(3),0:WOA(3),,
13,9,,,PB5,,,X13/Y13,,,,3:RxD(3),1:MISO(3),,WO5(3),WO5,3:WO,0:WOB(3),,
14,,,,PB6,,,X14/Y14,,,,3:XCK(3),1:SCK(3),1:SDA(S)(3),,,,0:WOC(3),,4:OUT(3)
15,,,,PB7,,,X15/Y15,,,,3:XDIR(3),1:SS(3),1:SCL(S)(3),,,,0:WOD(3),EVOUTB (3),
16,10,6,2,PC0,,,,,,,1:TxD,1:MOSI,,WO0(3),,2:WO,,,1:IN0
17,11,7,3,PC1,,,,,,,1:RxD,1:MISO,,WO1(3),,3:WO(3),,,1:IN1
18,12,8,4,PC2,TWI,,,,,,1:XCK,1:SCK,0:SDA(M)(3),WO2(3),,,,EVOUTC,1:IN2
19,13,9,5,PC3,TWI,,,,,,1:XDIR,1:SS,0:SCL(M)(3),WO3(3),,,,,1:OUT
22,16,,,PC4,,,,,,,1:TxD(3),1:MOSI(3),,WO4(3),WO0(3),,,,
23,17,,,PC5,,,,,,,1:RxD(3),1:MISO(3),,WO5(3),WO1(3),,,,
